#,Mod名,文件名,端,下载源,下载链接
119,舌战群儒,spitfight-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-spitfight/spitfight-5.jar
120,节气,EclipticSeasons-26.1.2-neoforge-0.14.1.2.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-eclipticseasons/eclipticseasons-155.jar
121,苇原,ashihara-0.0.0.15.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-ashihara/ashihara-243.jar
122,蜂会,beecrasy-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-beecrasy/beecrasy-154.jar
123,街头主义 The Streetism,thestreetism-2668-debug.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-thestreetism/thestreetism-12.jar
124,袖里舆图,aleeve_atlas-0.0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-aleeve-atlas/aleeve-atlas-18.jar
125,让我看看,let_me_see_see-1.3.10.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-let-me-see-see/let-me-see-see-13.jar
126,超级管道速滑 SuperPipeSlide,superpipeslide-0.4.0-beta.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-superpipeslide/superpipeslide-47.jar
127,进阶四叶草 Advanced Clover,advanced_clover-1.0.2.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-advanced-clover/advanced-clover-20.jar
128,铁砧工艺：猫+!,anvilcraft-nekoplus-26.1.1-alpha.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-nekoplus/nekoplus-81.jar
129,高人一等,manabove-0.0.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-manabove/manabove-8.jar
